Open Time,Open,High,Low,Close
2020-09-11 02:00:00,10.00000000,10.08500000,9.77200000,9.90900000
2020-09-12 02:00:00,9.92700000,10.11200000,9.29300000,9.36600000
2020-09-13 02:00:00,9.28500000,10.37000000,8.84200000,9.98900000
2020-09-14 02:00:00,10.04400000,10.18200000,9.27500000,9.60100000
2020-09-15 02:00:00,9.51600000,9.91700000,9.23800000,9.85100000
2020-09-16 02:00:00,9.88000000,10.72100000,9.10600000,9.39700000
2020-09-17 02:00:00,9.12200000,9.50000000,8.30800000,8.96800000
2020-09-18 02:00:00,9.02000000,9.48500000,8.57100000,9.24600000
2020-09-19 02:00:00,9.20600000,9.34400000,8.65800000,9.00600000
2020-09-20 02:00:00,9.15600000,9.89600000,9.15300000,9.57200000
2020-09-21 02:00:00,9.66500000,11.27100000,9.37800000,11.11900000
2020-09-22 02:00:00,11.20000000,11.30000000,10.74200000,10.85500000
2020-09-23 02:00:00,10.97900000,12.25500000,10.81800000,12.21200000
2020-09-24 02:00:00,12.35100000,12.35100000,10.87300000,10.98200000
2020-09-25 02:00:00,11.13600000,11.28500000,9.72400000,10.10300000
2020-09-26 02:00:00,9.90700000,10.38300000,9.62500000,10.03500000
2020-09-27 02:00:00,9.94100000,10.39600000,9.71500000,9.90800000
2020-09-28 02:00:00,9.82000000,10.10500000,9.38600000,10.10500000
2020-09-29 02:00:00,10.10400000,10.35100000,9.60300000,9.93300000
2020-09-30 02:00:00,10.27100000,10.27500000,10.01700000,10.27500000
2020-10-01 02:00:00,10.00100000,10.72900000,9.78900000,10.54100000
2020-10-02 02:00:00,10.54100000,11.34200000,10.35000000,10.83500000
2020-10-03 02:00:00,10.83800000,10.98700000,10.80000000,10.92300000
2020-10-04 02:00:00,11.00400000,11.10800000,9.22000000,9.44100000
2020-10-05 02:00:00,9.39100000,9.56500000,8.80000000,9.08100000
2020-10-06 02:00:00,9.01500000,9.89000000,8.39600000,9.60000000
2020-10-07 02:00:00,9.53200000,9.80200000,9.05400000,9.23400000
2020-10-08 02:00:00,9.34100000,9.75400000,8.89400000,9.00500000
2020-10-09 02:00:00,9.03600000,9.13400000,8.60600000,9.06700000
2020-10-10 02:00:00,8.80800000,8.87700000,8.26800000,8.56900000
2020-10-11 02:00:00,8.85300000,8.85400000,8.44600000,8.63900000
2020-10-12 02:00:00,8.68600000,9.18800000,8.45000000,8.62900000
2020-10-13 02:00:00,8.59300000,8.79100000,8.33900000,8.64200000
2020-10-14 02:00:00,8.55600000,9.25000000,8.46400000,9.07200000
2020-10-15 02:00:00,9.04800000,9.67500000,9.02600000,9.27400000
2020-10-16 02:00:00,9.28500000,10.18600000,9.28500000,9.92000000
2020-10-17 02:00:00,9.95000000,9.95000000,9.76500000,9.84100000
2020-10-18 02:00:00,9.83300000,9.87900000,9.67600000,9.79700000
2020-10-19 02:00:00,9.73100000,9.97400000,9.14100000,9.42200000
2020-10-20 02:00:00,9.43400000,9.84200000,8.99100000,9.72200000
2020-10-21 02:00:00,9.63900000,9.64800000,8.53600000,8.98400000
2020-10-22 02:00:00,8.88700000,9.04700000,7.80000000,8.44900000
2020-10-23 02:00:00,8.61500000,9.05600000,8.25700000,8.71000000
2020-10-24 02:00:00,8.77300000,8.78000000,8.39600000,8.49000000
