Open Time,Open,High,Low,Close
2021-05-14 02:00:00,27.18000000,77.80000000,27.18000000,29.21200000
2021-05-15 02:00:00,29.20000000,32.70000000,26.10100000,26.62200000
2021-05-16 02:00:00,26.86500000,27.99600000,22.69400000,23.89500000
2021-05-17 02:00:00,23.87900000,25.00100000,21.15500000,22.67800000
2021-05-18 02:00:00,22.73500000,25.93800000,21.97900000,22.54300000
2021-05-19 02:00:00,22.74500000,22.98500000,10.32700000,16.47900000
2021-05-20 02:00:00,16.47900000,18.88900000,14.80700000,18.75500000
2021-05-21 02:00:00,18.75500000,20.89000000,13.63300000,15.37600000
2021-05-22 02:00:00,15.30900000,16.80000000,12.50000000,14.26400000
2021-05-23 02:00:00,14.24800000,15.00000000,9.90000000,13.28000000
2021-05-24 02:00:00,13.33600000,15.75000000,12.35000000,15.12400000
2021-05-25 02:00:00,15.20500000,15.71500000,12.75000000,14.78000000
2021-05-26 02:00:00,14.78500000,18.89000000,14.72500000,17.63100000
2021-05-27 02:00:00,17.49600000,17.55200000,15.10600000,15.55000000
2021-05-28 02:00:00,15.55100000,15.66400000,13.03000000,14.60200000
2021-05-29 02:00:00,14.61200000,16.15300000,11.81300000,12.75000000
2021-05-30 02:00:00,12.75000000,15.25300000,12.17600000,14.22500000
2021-05-31 02:00:00,14.11100000,15.30400000,12.48100000,15.30400000
2021-06-01 02:00:00,15.30400000,17.12900000,14.60500000,15.46200000
2021-06-02 02:00:00,15.45600000,17.65300000,15.08100000,16.88500000
2021-06-03 02:00:00,16.88500000,18.77800000,16.00000000,18.70400000
2021-06-04 02:00:00,18.70200000,20.00000000,15.04700000,15.98700000
2021-06-05 02:00:00,15.99600000,17.50000000,14.90000000,15.37400000
2021-06-06 02:00:00,15.37400000,16.36500000,15.17400000,15.65600000
2021-06-07 02:00:00,15.66100000,22.37500000,15.43900000,17.46100000
2021-06-08 02:00:00,17.39800000,21.43100000,15.45900000,17.08300000
2021-06-09 02:00:00,17.01400000,18.75200000,15.50000000,18.00000000
2021-06-10 02:00:00,18.03800000,19.42000000,16.49900000,16.66800000
2021-06-11 02:00:00,16.58500000,16.98500000,15.11000000,15.58900000
2021-06-12 02:00:00,15.58900000,15.64100000,13.88600000,14.65400000
2021-06-13 02:00:00,14.65400000,17.27900000,13.54700000,15.80200000
2021-06-14 02:00:00,15.87100000,16.78500000,15.03500000,16.20000000
2021-06-15 02:00:00,16.20000000,16.86000000,15.74900000,15.89800000
2021-06-16 02:00:00,15.93400000,16.00000000,14.62000000,15.02900000
2021-06-17 02:00:00,15.02900000,16.91800000,14.79400000,16.18600000
2021-06-18 02:00:00,16.15400000,17.48500000,15.00000000,15.68500000
2021-06-19 02:00:00,15.67400000,17.99800000,15.36800000,17.37200000
2021-06-20 02:00:00,17.37500000,19.31000000,15.41000000,18.42900000
2021-06-21 02:00:00,18.42700000,18.43600000,13.19800000,13.52900000
2021-06-22 02:00:00,13.52400000,14.76700000,10.93500000,12.03300000
2021-06-23 02:00:00,11.98100000,13.39000000,11.11600000,11.78400000
2021-06-24 02:00:00,11.74200000,12.50000000,10.76000000,11.44200000
2021-06-25 02:00:00,11.44200000,11.72700000,9.14800000,9.52400000
2021-06-26 02:00:00,9.52400000,10.00000000,8.27000000,9.00000000
2021-06-27 02:00:00,8.99500000,10.52200000,8.85800000,10.21200000
2021-06-28 02:00:00,10.24800000,10.66800000,9.35700000,9.99500000
2021-06-29 02:00:00,9.99300000,11.39900000,9.98700000,10.73600000
2021-06-30 02:00:00,10.72700000,10.79900000,9.83300000,10.34800000
2021-07-01 02:00:00,10.34900000,12.76000000,10.01700000,10.87300000
2021-07-02 02:00:00,10.87300000,11.04500000,9.71300000,10.61300000
2021-07-03 02:00:00,10.61200000,10.98900000,10.00000000,10.56200000
2021-07-04 02:00:00,10.56300000,11.40000000,10.28200000,10.92900000
2021-07-05 02:00:00,10.92900000,11.22400000,10.35000000,10.63500000
2021-07-06 02:00:00,10.62200000,11.47100000,10.61900000,11.15600000
2021-07-07 02:00:00,11.12400000,12.97900000,10.98100000,11.84000000
2021-07-08 02:00:00,11.84400000,12.39200000,10.57000000,10.88700000
2021-07-09 02:00:00,10.88100000,11.19900000,10.38000000,11.01200000
2021-07-10 02:00:00,11.01200000,11.15000000,10.20200000,10.76000000
2021-07-11 02:00:00,10.79100000,11.67500000,10.58500000,11.37900000
2021-07-12 02:00:00,11.37000000,11.45200000,10.42700000,10.60000000
2021-07-13 02:00:00,10.60000000,10.63000000,9.89700000,10.18500000
2021-07-14 02:00:00,10.18500000,10.58400000,9.64700000,10.06200000
2021-07-15 02:00:00,10.06100000,10.24300000,9.25000000,9.40600000
2021-07-16 02:00:00,9.42000000,9.71300000,8.50000000,8.75400000
2021-07-17 02:00:00,8.77200000,8.95000000,8.15000000,8.61900000
2021-07-18 02:00:00,8.61800000,10.50000000,8.61800000,9.00700000
2021-07-19 02:00:00,8.98200000,9.05600000,7.89000000,8.16000000
2021-07-20 02:00:00,8.15000000,8.44100000,7.19300000,7.20700000
2021-07-21 02:00:00,7.20700000,8.66600000,7.10100000,8.25400000
2021-07-22 02:00:00,8.25400000,8.72000000,7.88800000,8.49000000
2021-07-23 02:00:00,8.49000000,8.96500000,8.13800000,8.93600000
2021-07-24 02:00:00,8.93600000,9.13400000,8.75900000,8.91500000
2021-07-25 02:00:00,8.91500000,11.07300000,8.76200000,10.02700000
2021-07-26 02:00:00,10.03100000,11.00000000,9.16100000,9.31400000
